Cell variables for frog model	SF Trinity at Sandy Bar test file		
SFR 1 Sept 2014	Elevation estimated from depth at 9.7 m3/s	Breeder-suitable from RSL 2/12/2015	Has-shelter added from RSL survey 10/22/2014
CellNum	Elevation (m)	Breeder-suitable?	Has-shelter?
2724	148.0019989	0	0
2725	148.0019989	0	0
2726	148.0019989	0	0
2727	148.0019989	0	0
2728	148.0019989	0	0
2729	148.0019989	0	0
2730	148.0019989	0	0
2731	148.0019989	0	0
2732	148.0019989	0	0
2733	148.0019989	0	0
2734	148.0019989	0	0
2735	148.0019989	0	0
2736	148.0019989	0	0
2737	148.0019989	0	0
2738	148.0019989	0	0
2739	148.0019989	0	0
2740	148.0019989	0	0
2741	148.0019989	0	0
2742	148.0019989	0	0
2743	148.0019989	0	0
2744	148.0019989	0	0
2745	148.0019989	0	0
2746	148.0019989	0	0
2747	148.0019989	0	0
2748	148.0019989	0	0
2749	148.0019989	0	0
2750	148.0019989	0	0
2751	148.0019989	0	0
2752	148.0019989	0	0
2753	148.0019989	0	0
2754	148.0019989	0	0
2755	148.0019989	0	0
2756	148.0019989	0	0
2757	148.0019989	0	0
2758	148.0019989	0	0
2759	148.0019989	0	0
2760	148.0019989	0	0
2761	148.0019989	0	0
2762	148.0019989	0	0
2763	148.0019989	0	0
2764	148.0019989	0	0
2765	148.0019989	0	0
2766	148.0019989	0	0
2767	148.0019989	0	0
2768	148.0019989	0	0
2769	148.0019989	0	0
2770	148.0019989	0	0
2771	148.0019989	0	0
2772	148.0019989	0	0
2773	148.0019989	0	0
2774	148.0019989	0	0
2775	148.0019989	0	0
2776	148.0019989	0	0
2777	148.0019989	0	0
2778	148.0019989	0	0
2779	148.0019989	0	0
2780	148.0019989	0	0
2781	148.0019989	0	0
2782	148.0019989	0	0
2783	148.0019989	0	0
2784	148.0019989	0	0
2785	148.0019989	0	0
2786	148.0019989	0	0
2787	148.0019989	0	0
2788	148.0019989	0	0
2789	148.0019989	0	0
2790	148.0019989	0	0
2791	148.0019989	0	0
2792	148.0019989	0	0
2793	148.0019989	0	0
2794	148.0019989	0	0
2795	148.0019989	0	0
2796	148.0019989	0	0
2797	148.0019989	0	0
2798	148.0019989	0	0
2799	148.0019989	0	0
2800	148.0019989	0	0
2801	148.0019989	0	0
2802	148.0019989	0	0
2803	148.0019989	0	0
2804	148.0019989	0	0
2805	148.0019989	0	0
2806	148.0019989	0	0
2807	148.0019989	0	0
2808	148.0019989	0	0
2809	148.0019989	0	0
2810	148.0019989	0	0
2811	148.0019989	0	0
2812	148.0019989	0	0
2813	148.0019989	0	0
2814	148.0019989	0	0
2815	148.0019989	0	0
2816	148.0019989	0	0
2817	148.0019989	0	0
2818	148.0019989	0	0
3139	148.0019989	0	0
3140	148.0019989	0	0
3141	148.0019989	0	0
3142	148.0019989	0	0
3143	148.0019989	0	0
3144	148.0019989	0	0
3145	148.0019989	0	0
3146	148.0019989	0	0
3147	148.0019989	0	0
3148	148.0019989	0	0
3149	148.0019989	0	0
3150	148.0019989	0	0
3151	148.0019989	0	0
3152	148.0019989	0	0
3153	148.0019989	0	0
3154	148.0019989	0	0
3155	148.0019989	0	0
3156	148.0019989	0	0
3157	148.0019989	0	0
3158	148.0019989	0	0
3159	148.0019989	0	0
3160	148.0019989	0	0
3161	148.0019989	0	0
3162	148.0019989	0	0
3163	148.0019989	0	0
3164	148.0019989	0	0
3165	148.0019989	0	0
3166	148.0019989	0	0
3167	148.0019989	0	0
3168	148.0019989	0	0
3169	148.0019989	0	0
3170	148.0019989	0	0
3171	148.0019989	0	0
3172	148.0019989	0	0
3173	148.0019989	0	0
3174	148.0019989	0	0
3175	148.0019989	0	0
3176	148.0019989	0	0
3177	148.0019989	0	0
3178	148.0019989	0	0
3179	148.0019989	0	0
3180	148.0019989	0	0
3181	148.0019989	0	0
3182	148.0019989	0	0
3183	148.0019989	0	0
3184	148.0019989	0	0
3185	148.0019989	0	0
3186	148.0019989	0	0
3187	148.0019989	0	0
3188	148.0019989	0	0
3189	148.0019989	0	0
3190	148.0019989	0	0
3191	148.0019989	0	0
3192	148.0019989	0	0
3193	148.0019989	0	0
3194	148.0019989	0	0
3195	148.0019989	0	0
3196	148.0019989	0	0
3197	148.0019989	0	0
3198	148.0019989	0	0
3199	148.0019989	0	0
3200	148.0019989	0	0
3201	148.0019989	0	0
3202	148.0019989	0	0
3203	148.0019989	0	0
3204	148.0019989	0	0
3205	148.0019989	0	0
3206	148.0019989	0	0
3207	148.0019989	0	0
3208	148.0019989	0	0
3209	148.0019989	0	0
3210	148.0019989	0	0
3211	148.0019989	0	0
3212	148.0019989	0	0
3213	148.0019989	0	0
3214	148.0019989	0	0
3215	148.0019989	0	0
3216	148.0019989	0	0
3217	148.0019989	0	0
3218	148.0019989	0	0
3219	148.0019989	0	0
3220	148.0019989	0	0
3221	148.0019989	0	0
3222	148.0019989	0	0
3223	148.0019989	0	0
3224	148.0019989	0	0
3225	148.0019989	0	0
3226	148.0019989	0	0
3227	148.0019989	0	0
3228	148.0019989	0	0
3229	148.0019989	0	0
3230	148.0019989	0	0
3231	148.0019989	0	0
3232	148.0019989	0	0
3233	148.0019989	0	0
3234	148.0019989	0	0
3235	148.0019989	0	0
3236	148.0019989	0	0
3237	148.0019989	0	0
3238	148.0019989	0	0
3239	148.0019989	0	0
3240	148.0019989	0	0
3241	148.0019989	0	0
3242	148.0019989	0	0
3243	148.0019989	0	0
3244	148.0019989	0	0
3245	148.0019989	0	0
3246	148.0019989	0	0
3247	148.0019989	0	0
3248	148.0019989	0	0
3249	148.0019989	0	0
3250	148.0019989	0	0
3251	148.0019989	0	0
3252	148.0019989	0	0
3253	148.0019989	0	0
3254	148.0019989	0	0
3255	148.0019989	0	0
3256	148.0019989	0	0
3257	148.0019989	0	0
3565	148.0019989	0	0
3566	148.0019989	0	0
3567	148.0019989	0	0
3568	148.0019989	0	0
3569	148.0019989	0	0
3570	148.0019989	0	0
3571	148.0019989	0	0
3572	148.0019989	0	0
3573	148.0019989	0	0
3574	148.0019989	0	0
3575	148.0019989	0	0
3576	148.0019989	0	0
3577	148.0019989	0	0
3578	148.0019989	0	0
3579	148.0019989	0	0
3580	148.0019989	0	0
3581	148.0019989	0	0
3582	148.0019989	0	0
3583	148.0019989	0	0
3584	148.0019989	0	0
3585	148.0019989	0	0
3586	148.0019989	0	0
3587	148.0019989	0	0
3588	148.0019989	0	0
3589	148.0019989	0	0
3590	148.0019989	0	0
3591	148.0019989	0	0
3592	148.0019989	0	0
3593	148.0019989	0	0
3594	148.0019989	0	0
3595	148.0019989	0	0
3596	148.0019989	0	0
3597	148.0019989	0	0
3598	148.0019989	0	0
3599	148.0019989	0	0
3600	148.0019989	0	0
3601	148.0019989	0	0
3602	148.0019989	0	0
3603	148.0019989	0	0
3604	148.0019989	0	0
3605	148.0019989	0	0
3606	148.0019989	0	0
3607	147.931778	0	0
3608	148.0019989	0	0
3609	148.0019989	0	0
3610	148.0019989	0	0
3611	148.0019989	0	0
3612	148.0019989	0	0
3613	148.0019989	0	0
3614	148.0019989	0	0
3615	148.0019989	0	0
3616	148.0019989	0	0
3617	148.0019989	0	0
3618	148.0019989	0	0
3619	148.0019989	0	0
3620	148.0019989	0	0
3621	148.0019989	0	0
3622	148.0019989	0	0
3623	148.0019989	0	0
3624	148.0019989	0	0
3625	148.0019989	0	0
3626	148.0019989	0	0
3627	148.0019989	0	0
3628	148.0019989	0	0
3629	148.0019989	0	0
3630	148.0019989	0	0
3631	148.0019989	0	0
3632	148.0019989	0	0
3633	148.0019989	0	0
3634	148.0019989	0	0
3635	148.0019989	0	0
3636	148.0019989	0	0
3637	148.0019989	0	0
3638	148.0019989	0	0
3639	148.0019989	0	0
3640	148.0019989	0	0
3641	148.0019989	0	0
3642	148.0019989	0	0
3643	148.0019989	0	0
3644	148.0019989	0	0
3645	148.0019989	0	0
3646	148.0019989	0	0
3647	148.0019989	0	0
3648	148.0019989	0	0
3649	148.0019989	0	0
3650	148.0019989	0	0
3651	148.0019989	0	0
3652	148.0019989	0	0
3653	148.0019989	0	0
3654	148.0019989	0	0
3655	148.0019989	0	0
3656	148.0019989	0	0
3657	148.0019989	0	0
3658	148.0019989	0	0
3659	148.0019989	0	0
3660	148.0019989	0	0
3661	148.0019989	0	0
3662	148.0019989	0	0
3663	148.0019989	0	0
3664	148.0019989	0	0
3665	148.0019989	0	0
3666	148.0019989	0	0
3667	148.0019989	0	0
3668	148.0019989	0	0
3669	148.0019989	0	0
3670	148.0019989	0	0
3671	148.0019989	0	0
3672	148.0019989	0	0
3673	148.0019989	0	0
3674	148.0019989	0	0
3675	148.0019989	0	0
3676	148.0019989	0	0
3677	148.0019989	0	0
3678	148.0019989	0	0
3679	148.0019989	0	0
3680	148.0019989	0	0
3681	148.0019989	0	0
3682	148.0019989	0	0
3683	148.0019989	0	0
3684	148.0019989	0	0
3685	148.0019989	0	0
3686	148.0019989	0	0
3687	148.0019989	0	0
3688	148.0019989	0	0
3689	148.0019989	0	0
3690	148.0019989	0	0
3691	148.0019989	0	0
3692	148.0019989	0	0
3693	148.0019989	0	0
3694	148.0019989	0	0
3695	148.0019989	0	0
3696	148.0019989	0	0
3991	148.0019989	0	0
3992	148.0019989	0	0
3993	148.0019989	0	0
3994	148.0019989	0	0
3995	148.0019989	0	0
3996	148.0019989	0	0
3997	148.0019989	0	0
3998	148.0019989	0	0
3999	148.0019989	0	0
4000	148.0019989	0	0
4001	148.0019989	0	0
4002	148.0019989	0	0
4003	148.0019989	0	0
4004	148.0019989	0	0
4005	148.0019989	0	0
4006	148.0019989	0	0
4007	148.0019989	0	0
4008	148.0019989	0	0
4009	148.0019989	0	0
4010	148.0019989	0	0
4011	148.0019989	0	0
4012	148.0019989	0	0
4013	148.0019989	0	0
4014	148.0019989	0	0
4015	148.0019989	0	0
4016	148.0019989	0	0
4017	148.0019989	0	0
4018	148.0019989	0	0
4019	148.0019989	0	0
4020	148.0019989	0	0
4021	148.0019989	0	0
4022	148.0019989	0	0
4023	148.0019989	0	0
4024	148.0019989	0	0
4025	148.0019989	0	0
4026	148.0019989	0	0
4027	148.0019989	0	0
4028	148.0019989	0	0
4029	148.0019989	0	0
4030	148.0019989	0	0
4031	148.0019989	0	0
4032	148.0019989	0	0
4033	148.0019989	0	0
4034	148.0019989	0	0
4035	147.9099274	0	0
4036	147.9940185	0	0
4037	147.6990204	0	0
4038	147.1469574	0	0
4039	147.3585663	0	0
4040	147.841507	0	0
4041	148.0019989	0	0
4042	148.0019989	0	0
4043	148.0019989	0	0
4044	148.0019989	0	0
4045	148.0019989	0	0
4046	148.0019989	0	0
4047	148.0019989	0	0
4048	148.0019989	0	0
4049	148.0019989	0	0
4050	148.0019989	0	0
4051	148.0019989	0	0
4052	148.0019989	0	0
4053	148.0019989	0	0
4054	148.0019989	0	0
4055	148.0019989	0	0
4056	148.0019989	0	0
4057	148.0019989	0	0
4058	148.0019989	0	0
4059	148.0019989	0	0
4060	148.0019989	0	0
4061	148.0019989	0	0
4062	148.0019989	0	0
4063	148.0019989	0	0
4064	148.0019989	0	0
4065	148.0019989	0	0
4066	148.0019989	0	0
4067	148.0019989	0	0
4068	148.0019989	0	0
4069	148.0019989	0	0
4070	148.0019989	0	0
4071	148.0019989	0	0
4072	148.0019989	0	0
4073	148.0019989	0	0
4074	148.0019989	0	0
4075	148.0019989	0	0
4076	148.0019989	0	0
4077	148.0019989	0	0
4078	148.0019989	0	0
4079	148.0019989	0	0
4080	148.0019989	0	0
4081	148.0019989	0	0
4082	148.0019989	0	0
4083	148.0019989	0	0
4084	148.0019989	0	0
4085	148.0019989	0	0
4086	148.0019989	0	0
4087	148.0019989	0	0
4088	148.0019989	0	0
4089	148.0019989	0	0
4090	148.0019989	0	0
4091	148.0019989	0	0
4092	148.0019989	0	0
4093	148.0019989	0	0
